mal_id,title,large_image_url,year,genre1,genre2,genre3
"52807","One Punch Man 3","https://cdn.myanimelist.net/images/anime/1168/148347l.jpg","2025","Action","Comedy",""
"53065","Sono Bisque Doll wa Koi wo Suru Season 2","https://cdn.myanimelist.net/images/anime/1151/149730l.jpg","2025","Romance","",""
"49233","Youjo Senki II","https://cdn.myanimelist.net/images/anime/1437/115925l.jpg","","Action","Fantasy",""
"60543","Dandadan 2nd Season","https://cdn.myanimelist.net/images/anime/1721/149001l.jpg","2025","Action","Comedy","Supernatural"
"55825","Jigokuraku 2nd Season","https://cdn.myanimelist.net/images/anime/1500/140418l.jpg","2026","Action","Adventure","Supernatural"
"59978","Sousou no Frieren 2nd Season","https://cdn.myanimelist.net/images/anime/1089/148301l.jpg","2026","Adventure","Drama","Fantasy"
"59027","Spy x Family Season 3","https://cdn.myanimelist.net/images/anime/1496/148625l.jpg","2025","Action","Comedy",""
"59193","Mushoku Tensei III: Isekai Ittara Honki Dasu","https://cdn.myanimelist.net/images/anime/1826/143892l.jpg","","Adventure","Drama","Fantasy"
"59177","Kaijuu 8-gou 2nd Season","https://cdn.myanimelist.net/images/anime/1049/147109l.jpg","2025","Action","Fantasy","Sci-Fi"
"60058","[Oshi no Ko] 3rd Season","https://cdn.myanimelist.net/images/anime/1091/145945l.jpg","","Drama","",""
"57658","Jujutsu Kaisen: Shimetsu Kaiyuu","https://cdn.myanimelist.net/images/anime/1889/147024l.jpg","","Action","Supernatural",""
"60098","Boku no Hero Academia: Final Season","https://cdn.myanimelist.net/images/anime/1441/148713l.jpg","2025","Action","",""
"58390","Yofukashi no Uta Season 2","https://cdn.myanimelist.net/images/anime/1509/148453l.jpg","2025","Romance","Supernatural",""
"54703","Fumetsu no Anata e Season 3","https://cdn.myanimelist.net/images/anime/1361/149180l.jpg","2025","Adventure","Drama","Supernatural"
"59068","Dungeon Meshi 2nd Season","https://cdn.myanimelist.net/images/anime/1796/143572l.jpg","","Adventure","Comedy","Fantasy"
"57907","Tate no Yuusha no Nariagari Season 4","https://cdn.myanimelist.net/images/anime/1638/148142l.jpg","2025","Action","Adventure","Drama"
"56732","Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru 2nd Season","https://cdn.myanimelist.net/images/anime/1208/138680l.jpg","","Action","Drama","Fantasy"
"53913","Tensei shitara Ken deshita 2","https://cdn.myanimelist.net/images/anime/1710/131965l.jpg","","Action","Adventure","Fantasy"
"59970","Tensei shitara Slime Datta Ken 4th Season","https://cdn.myanimelist.net/images/anime/1276/145790l.jpg","","Action","Comedy","Fantasy"
"59708","Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 4th Season: 2-nensei-hen 1 Gakki","https://cdn.myanimelist.net/images/anime/1585/145193l.jpg","","Drama","Suspense",""
"59873","Tokidoki Bosotto Russia-go de Dereru Tonari no Alya-san Season 2","https://cdn.myanimelist.net/images/anime/1649/145575l.jpg","","Comedy","Romance",""
"61006","Bocchi the Rock! 2nd Season","https://cdn.myanimelist.net/images/anime/1142/148003l.jpg","","Comedy","",""
"57433","Seishun Buta Yarou wa Santa Claus no Yume wo Minai","https://cdn.myanimelist.net/images/anime/1823/149858l.jpg","2025","Drama","Romance","Supernatural"
"55830","Fate/strange Fake","https://cdn.myanimelist.net/images/anime/1724/136845l.jpg","","Action","Fantasy",""
"56876","Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken 2nd Season","https://cdn.myanimelist.net/images/anime/1026/148655l.jpg","","Romance","",""
"60285","Sakamoto Days Part 2","https://cdn.myanimelist.net/images/anime/1758/148719l.jpg","2025","Action","Comedy",""
"59845","Kaoru Hana wa Rin to Saku","https://cdn.myanimelist.net/images/anime/1013/148711l.jpg","2025","Drama","Romance",""
"59986","Grand Blue Season 2","https://cdn.myanimelist.net/images/anime/1278/145814l.jpg","2025","Comedy","",""
"61316","Re:Zero kara Hajimeru Isekai Seikatsu 4th Season","https://cdn.myanimelist.net/images/anime/1070/148834l.jpg","","Drama","Fantasy","Suspense"
"59139","Tsuki ga Michibiku Isekai Douchuu 3rd Season","https://cdn.myanimelist.net/images/anime/1055/143718l.jpg","","Action","Adventure","Comedy"
"61322","Dr. Stone: Science Future Part 2","https://cdn.myanimelist.net/images/anime/1335/148849l.jpg","2025","Adventure","Comedy","Sci-Fi"
"59062","Gachiakuta","https://cdn.myanimelist.net/images/anime/1543/143560l.jpg","2025","Action","Fantasy",""
"54000","Otome Game Sekai wa Mob ni Kibishii Sekai desu 2nd Season","https://cdn.myanimelist.net/images/anime/1930/132098l.jpg","","Action","Fantasy","Romance"
"59229","Enen no Shouboutai: San no Shou Part 2","https://cdn.myanimelist.net/images/anime/1668/144076l.jpg","2026","Action","Fantasy","Sci-Fi"
"60636","Bleach: Sennen Kessen-hen - Kashin-tan","https://cdn.myanimelist.net/images/anime/1905/147227l.jpg","","Action","Adventure","Supernatural"
"59983","Tsue to Tsurugi no Wistoria 2nd Season","https://cdn.myanimelist.net/images/anime/1879/145809l.jpg","","Action","Fantasy",""
"54250","Made in Abyss: Retsujitsu no Ougonkyou (Zoku-hen)","https://cdn.myanimelist.net/images/anime/1832/132835l.jpg","","Adventure","Drama","Fantasy"
"52480","Tantei wa Mou, Shindeiru. Season 2","https://cdn.myanimelist.net/images/anime/1766/125819l.jpg","","Comedy","Mystery","Romance"
"51553","Tongari Boushi no Atelier","https://cdn.myanimelist.net/images/anime/1991/144029l.jpg","","Fantasy","",""
"47158","Tomodachi no Imouto ga Ore ni dake Uzai","https://cdn.myanimelist.net/images/anime/1613/147343l.jpg","2025","Comedy","Romance",""
"58913","Hikaru ga Shinda Natsu","https://cdn.myanimelist.net/images/anime/1104/148614l.jpg","2025","Horror","Mystery","Supernatural"
"52750","SK∞ 2nd Season","https://cdn.myanimelist.net/images/anime/1292/127028l.jpg","","Sports","",""
"61469","JoJo no Kimyou na Bouken Part 7: Steel Ball Run","https://cdn.myanimelist.net/images/anime/1179/149231l.jpg","","Action","Adventure","Mystery"
"58934","Mashle (Zoku-hen)","https://cdn.myanimelist.net/images/anime/1495/143295l.jpg","","Action","Comedy","Fantasy"
"61203","Kono Subarashii Sekai ni Shukufuku wo! (Zoku-hen)","https://cdn.myanimelist.net/images/anime/1276/148468l.jpg","","Adventure","Comedy","Fantasy"
"59277","Kanojo, Okarishimasu 4th Season","https://cdn.myanimelist.net/images/anime/1765/147511l.jpg","2025","Comedy","Romance",""
"54440","Lycoris Recoil (Shinsaku Animation)","https://cdn.myanimelist.net/images/anime/1435/133315l.jpg","","Action","",""
"59095","Tensei shitara Dainana Ouji Datta node, Kimama ni Majutsu wo Kiwamemasu 2nd Season","https://cdn.myanimelist.net/images/anime/1154/149614l.jpg","2025","Adventure","Fantasy",""
"54688","Naruto (Shinsaku Anime)","https://cdn.myanimelist.net/images/anime/1378/137310l.jpg","","Action","Adventure","Fantasy"
"61338","Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su 3rd Season","https://cdn.myanimelist.net/images/anime/1851/148885l.jpg","","Action","Adventure","Fantasy"
"59928","Ookami to Koushinryou: Merchant Meets the Wise Wolf 2nd Season","https://cdn.myanimelist.net/images/anime/1924/145718l.jpg","","Adventure","Drama","Romance"
"58505","Mato Seihei no Slave 2","https://cdn.myanimelist.net/images/anime/1668/148737l.jpg","","Action","Fantasy","Ecchi"
"52293","New Panty & Stocking with Garterbelt","https://cdn.myanimelist.net/images/anime/1825/144026l.jpg","","Action","Comedy","Fantasy"
"59088","Tokyo Revengers: Santen Sensou-hen","https://cdn.myanimelist.net/images/anime/1340/148694l.jpg","","Action","Drama",""
"57025","Tondemo Skill de Isekai Hourou Meshi 2","https://cdn.myanimelist.net/images/anime/1018/149619l.jpg","2025","Adventure","Comedy","Fantasy"
"59467","Chiyu Mahou no Machigatta Tsukaikata 2nd Season","https://cdn.myanimelist.net/images/anime/1737/144634l.jpg","","Action","Adventure","Fantasy"
"54687","Boruto: Naruto Next Generations Part 2","https://cdn.myanimelist.net/images/anime/1604/134068l.jpg","","Action","Adventure","Fantasy"
"57612","Kikansha no Mahou wa Tokubetsu desu 2nd Season","https://cdn.myanimelist.net/images/anime/1988/140571l.jpg","","Action","Fantasy",""
"57466","Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen - Ryoushu no Youjo","https://cdn.myanimelist.net/images/anime/1804/146827l.jpg","","Fantasy","",""
"61323","Ao no Hako 2nd Season","https://cdn.myanimelist.net/images/anime/1591/148854l.jpg","","Romance","Sports",""
"60548","Skip to Loafer 2nd Season","https://cdn.myanimelist.net/images/anime/1800/148268l.jpg","","Drama","",""
"57779","Dorohedoro (Zoku-hen)","https://cdn.myanimelist.net/images/anime/1419/140814l.jpg","","Action","Comedy","Fantasy"
"61398","Make Heroine ga Oosugiru! 2nd Season","https://cdn.myanimelist.net/images/anime/1031/149060l.jpg","","Comedy","Romance",""
"60310","Mairimashita! Iruma-kun 4th Season","https://cdn.myanimelist.net/images/anime/1918/146534l.jpg","","Comedy","Fantasy",""
"60522","Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu II","https://cdn.myanimelist.net/images/anime/1013/146963l.jpg","","Action","Adventure","Fantasy"
"56008","Sabikui Bisco Season 2","https://cdn.myanimelist.net/images/anime/1345/137192l.jpg","","Action","Adventure","Fantasy"
"54863","Trigun Stargaze","https://cdn.myanimelist.net/images/anime/1647/148617l.jpg","","Action","Adventure","Sci-Fi"
"58811","Tougen Anki","https://cdn.myanimelist.net/images/anime/1235/148715l.jpg","2025","Action","Supernatural",""
"55772","Golden Kamuy: Saishuushou","https://cdn.myanimelist.net/images/anime/1809/136686l.jpg","","Action","Adventure",""
"59230","Zenchi-teki na Dokusha no Shiten kara","https://cdn.myanimelist.net/images/anime/1549/144140l.jpg","","Action","Adventure","Fantasy"
"59402","Kakkou no Iinazuke Season 2","https://cdn.myanimelist.net/images/anime/1933/149056l.jpg","2025","Comedy","Romance",""
"60525","Nozomanu Fushi no Boukensha 2nd Season","https://cdn.myanimelist.net/images/anime/1569/146966l.jpg","","Action","Adventure","Fantasy"
"60046","Mahou Shoujo ni Akogarete 2nd Season","https://cdn.myanimelist.net/images/anime/1389/145933l.jpg","","Action","Comedy","Girls Love"
"60564","Ranma ½ (2024) 2nd Season","https://cdn.myanimelist.net/images/anime/1181/147042l.jpg","","Action","Comedy","Romance"
"56700","Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou 2nd Season","https://cdn.myanimelist.net/images/anime/1209/149408l.jpg","2025","Comedy","Fantasy",""
"59846","Saigo ni Hitotsu dake Onegai shitemo Yoroshii deshou ka","https://cdn.myanimelist.net/images/anime/1725/148741l.jpg","2025","Action","Comedy","Romance"
"54757","3-nen Z-gumi Ginpachi-sensei","https://cdn.myanimelist.net/images/anime/1367/146006l.jpg","2025","Comedy","",""
"60601","Tensei Kizoku, Kantei Skill de Nariagaru 3rd Season","https://cdn.myanimelist.net/images/anime/1754/147116l.jpg","","Adventure","Fantasy",""
"56836","Akira (Shin Anime)","https://cdn.myanimelist.net/images/anime/1361/138919l.jpg","","Action","Sci-Fi",""
"60059","Nige Jouzu no Wakagimi 2nd Season","https://cdn.myanimelist.net/images/anime/1437/145947l.jpg","","Adventure","Comedy",""
"58515","Kekkon Yubiwa Monogatari 2nd Season","https://cdn.myanimelist.net/images/anime/1017/142241l.jpg","","Action","Fantasy","Romance"
"59459","Silent Witch: Chinmoku no Majo no Kakushigoto","https://cdn.myanimelist.net/images/anime/1669/149732l.jpg","2025","Fantasy","",""
"60619","Nageki no Bourei wa Intai shitai Part 2","https://cdn.myanimelist.net/images/anime/1526/147157l.jpg","2025","Action","Adventure","Fantasy"
"61125","Haikyuu!! Bakemono-tachi no Iku Tokoro","https://cdn.myanimelist.net/images/anime/1540/148249l.jpg","","Sports","",""
"61126","Kimi ga Shinu made Koi wo Shitai","https://cdn.myanimelist.net/images/anime/1051/148250l.jpg","","Fantasy","Girls Love",""
"53397","Tsuyokute New Saga","https://cdn.myanimelist.net/images/anime/1170/147753l.jpg","2025","Adventure","Fantasy",""
"59898","City The Animation","https://cdn.myanimelist.net/images/anime/1981/149640l.jpg","2025","Comedy","",""
"60267","Yuru Camp△ Season 4","https://cdn.myanimelist.net/images/anime/1259/146435l.jpg","","Slice of Life","",""
"56009","Yuusha-kei ni Shosu: Choubatsu Yuusha 9004-tai Keimu Kiroku","https://cdn.myanimelist.net/images/anime/1249/148740l.jpg","2025","Action","Adventure","Fantasy"
"61012","Toaru Kagaku no Railgun 4th Season","https://cdn.myanimelist.net/images/anime/1261/148015l.jpg","","Action","Fantasy","Sci-Fi"
"60510","2.5-jigen no Ririsa 2nd Season","https://cdn.myanimelist.net/images/anime/1833/146951l.jpg","","Comedy","Ecchi",""
"58518","Sasaki to Pii-chan Season 2","https://cdn.myanimelist.net/images/anime/1055/145202l.jpg","","Adventure","Comedy","Fantasy"
"60326","Watashi ga Koibito ni Nareru Wake Nai jan, Muri Muri! (※Muri ja Nakatta!?)","https://cdn.myanimelist.net/images/anime/1152/146560l.jpg","2025","Comedy","Girls Love",""
"61339","Jibaku Shounen Hanako-kun 2 Part 2","https://cdn.myanimelist.net/images/anime/1896/148886l.jpg","2025","Supernatural","",""
"59130","Isekai Mokushiroku Mynoghra: Hametsu no Bunmei de Hajimeru Sekai Seifuku","https://cdn.myanimelist.net/images/anime/1013/148555l.jpg","2025","Adventure","Fantasy",""
"60055","Yozakura-san Chi no Daisakusen 2nd Season","https://cdn.myanimelist.net/images/anime/1040/147111l.jpg","","Action","Comedy",""
"49703","Fate/kaleid liner Prisma☆Illya (Zoku-hen)","https://cdn.myanimelist.net/images/anime/1747/137597l.jpg","","Action","",""
"58772","Kakuriyo no Yadomeshi 2nd Season","https://cdn.myanimelist.net/images/anime/1726/142804l.jpg","2025","Drama","Fantasy","Gourmet"
"58749","Arknights: Rise from Ember","https://cdn.myanimelist.net/images/anime/1790/149462l.jpg","2025","Action","Fantasy",""
"61440","Watashi no Shiawase na Kekkon (Shinsaku Anime)","https://cdn.myanimelist.net/images/anime/1511/149166l.jpg","","Drama","Fantasy","Romance"